date	open	high	low	close	volume	amount	ma5	ma10	ma20	ema12	ema26	rsi14	macd_dif	macd_dea	macd_bar	boll_mid	boll_upper	boll_lower	atr14
2018-03-21	428.59	431.99	416.99	418.99	282440	13278687232.0	421.35	416.51	407.04	414.2273626698793	407.6355869568165	57.2537785829593	6.591775713062873	4.627769095726462	3.9280132346728216	407.04	433.0960933372597	380.9839066627403	11.839444429788747
2018-03-22	407.99	415.39	394.99	395.79	718483	32204687360.0	415.5100000000001	416.15	406.69000000000005	411.39084533605177	406.75813607112633	45.377321539882665	4.632709264925438	4.6287571295662575	0.0079042707183614	406.69000000000005	433.1710557906868	380.2089442093133	12.708055541946694
2018-03-23	361.39	381.19	361.39	376.39	3084368	126000000000.0	406.47	413.45	405.02	406.0060998997361	404.5086445103022	38.23496018422726	1.4974553894339238	4.002496781539791	-5.010082784211734	405.02	434.6976435438493	375.3423564561508	14.25748014609336
2018-03-26	375.79	387.39	368.79	382.99	472997	19913242624.0	399.43000000000006	410.11	403.7	402.4651614536229	402.9146708428724	41.602583331278375	-0.4495093892494992	3.112095547381933	-7.123209873262865	403.7	434.87015441597583	372.52984558402414	14.567660135658118
2018-03-27	391.59	394.99	386.59	388.59	426442	18516920320.0	392.55000000000007	407.05	403.01	400.3305212299886	401.8535841137708	44.37391211616357	-1.5230628837821314	2.1850638611491204	-7.416253489862504	403.01	434.9048007642227	371.11519923577725	14.384255840253967
2018-03-28	376.39	383.79	367.79	368.59	489647	20468643840.0	382.4700000000001	401.91	402.0100000000001	395.4473641176826	399.3896149201581	37.52473091865416	-3.9422508024754848	0.9596009284241994	-9.803703461799367	402.0100000000001	436.9200257051872	367.09997429481285	14.842523280235824
2018-03-29	370.39	373.39	361.59	365.99	411154	16899466240.0	376.51	396.01	400.1400000000001	390.91546194573147	396.9155693705168	36.73100281449741	-6.000107424785313	-0.4323407422177029	-11.13553336513522	400.1400000000001	438.568251668737	361.7117483312632	14.625200188790409
2018-04-03	360.99	368.79	356.99	365.79	328866	13371121664.0	374.39	390.43	398.81000000000006	387.0500062617728	394.6099716393674	36.66675357931691	-7.559965377594665	-1.8578656692930955	-11.404199416603138	398.81000000000006	440.1021605915189	357.5178394084813	14.42340017530538
2018-04-04	364.59	368.39	353.99	353.99	358617	14454637568.0	368.59	384.0100000000001	397.4400000000001	381.9638514522693	391.6010848512661	32.999208998422645	-9.63723339899684	-3.4137392152338446	-12.446988367525991	397.4400000000001	442.7849701266797	352.0950298733205	14.421728734212136
2018-04-06	361.19	365.99	356.79	362.19	265863	10780751872.0	363.31	377.93000000000006	395.80000000000007	378.92172045961246	389.4224859733946	37.66526141032052	-10.500765513782142	-4.831144474943504	-11.339242077677277	395.80000000000007	443.8121870493644	347.7878129506358	14.24874811033984
2018-04-09	364.39	370.99	360.59	366.39	212208	8701468672.0	362.87	372.6700000000001	394.5900000000001	376.993763465826	387.71637590129126	39.97120883893213	-10.722612435465294	-6.009438067047863	-9.426348736834862	394.5900000000001	444.3432437450855	344.8367562549147	13.973837531029856
2018-04-10	369.39	374.99	365.79	373.59	255840	10638298112.0	364.39	370.45	393.30000000000007	376.4701075480066	386.6699776863808	43.808773121811605	-10.199870138374251	-6.84752448131314	-6.704691314122222	393.30000000000007	443.8605587910493	342.73944120895084	13.632849135956295
2018-04-11	377.39	381.99	373.59	375.99	239114	10066634752.0	366.43000000000006	370.41	391.93000000000006	376.3962448483133	385.8788682281304	45.06936389076804	-9.482623379817142	-7.374544261013941	-4.2161582376064	391.93000000000006	442.82317604965374	341.0368239503464	13.259074197673709
2018-04-12	378.79	379.99	365.19	369.59	206043	8539267584.0	369.55000000000007	369.07	389.59	375.3491302562651	384.672285396417	42.34148485816	-9.323155140151924	-7.764266436841539	-3.117777406620773	389.59	440.0496138667245	339.13038613327546	13.3691403264113
2018-04-13	372.99	373.19	363.59	364.39	195672	8022094336.0	369.99	366.65	386.85	373.6631102168397	383.1698938855713	40.21184702271449	-9.5067836687316	-8.112769883219551	-2.7880275710240987	386.85	436.486675744326	337.2133242556741	13.099916017381924
2018-04-16	363.19	364.19	355.59	359.39	249012	10008328192.0	368.59	365.7300000000001	383.82	371.4672471065567	381.4084202644178	38.22119532355226	-9.941173157861158	-8.478450538147873	-2.925445239426569	383.82	432.3244154257059	335.31558457429406	12.792779158997504
2018-04-17	359.59	362.99	351.39	353.59	284143	11374215168.0	364.59	364.49000000000007	380.25	368.7169013978557	379.3477965411276	35.99517937313507	-10.630895143271914	-8.908939459172682	-3.443911368198464	380.25	426.4514080441618	334.04859195583816	12.70758064764054
2018-04-18	360.59	361.39	349.79	356.39	281211	11243802624.0	360.67	363.55000000000007	376.99	366.8204550289548	377.6472190195626	37.87621338116277	-10.826763990607787	-9.292504365459704	-3.06851925029617	376.99	420.0003047628061	333.97969523719394	12.628467744237645
2018-04-19	360.39	363.59	356.99	362.19	218124	8828937216.0	359.19	364.37	374.19	366.1080773321925	376.5022398329284	41.69845941841242	-10.394162500735831	-9.512835992514928	-1.7626530164418064	374.19	412.9924958502737	335.3875041497263	12.240720048220668
2018-04-20	362.39	363.19	354.79	356.59	181088	7274225664.0	357.63	363.81	370.87	364.6437577426245	375.02725910456326	39.191228613789335	-10.383501361938784	-9.6869690663997	-1.3930645910781685	370.87	402.8556283516927	338.8843716483073	11.96638290191919
2018-04-23	353.99	356.59	349.99	350.39	193170	7634860032.0	355.83000000000004	362.21	367.44000000000005	362.4508719360669	373.2022769486697	36.56953413870046	-10.751405012602788	-9.899856255640318	-1.7030975139249414	367.44000000000005	391.4058968229084	343.4741031770917	11.583069837496389
2018-04-24	352.99	355.79	350.59	352.99	145217	5761424896.0	355.71	360.15	365.3	360.995353176672	371.7050712487682	38.42961328386856	-10.709718072096225	-10.0618286189315	-1.2957789063294456	365.3	386.03247135343554	344.5675286465645	11.141421991960934
