date	open	high	low	close	volume	amount	ma5	ma10	ma20	ema12	ema26	rsi14	macd_dif	macd_dea	macd_bar	boll_mid	boll_upper	boll_lower	atr14
2024-09-13	372.8	376.8	372.8	374.8	110138	4126159616.0	371.48	374.16	374.89	373.5232794217373	373.1257992734563	51.99049311005171	0.3974801482809198	1.061588544798545	-1.3282167930352502	374.89	383.0147898758897	366.7652101241104	7.430346110977916
2024-09-16	372.6	377.8	370.4	377.8	76892	2888661760.0	372.8	373.74	375.15	374.1812364337777	373.4720363643114	55.104987748104136	0.7092000694663056	0.9911108497320972	-0.563821560531583	375.15	383.2990070432241	367.000992956776	7.428178531622353
2024-09-17	372.0	381.4	372.0	380.0	101479	3843832320.0	375.08	373.96	375.52	375.0764308285811	373.9555892262143	57.29297971403926	1.120841602366852	1.0170570002590482	0.2075692042156074	375.52	383.8514496117193	367.1885503882807	7.569022922220755
2024-09-19	379.6	389.8	376.6	388.8	258020	9956352000.0	378.8	375.0200000000001	376.44	377.1877491626456	375.0551752094577	64.7031509082593	2.1325739531878867	1.240160390844816	1.7848271246861414	376.44	386.31210850410486	366.567891495895	7.971235570633558
2024-09-20	390.0	393.4	383.8	388.6	284071	11037803520.0	382.00000000000006	376.6	377.29	378.9434800607001	376.05849556431264	64.42953209533546	2.88498449638746	1.569125211953345	2.6317185688682305	377.29	388.27245490728274	366.3075450927173	8.087575887016873
2024-09-23	388.0	392.0	385.2	387.6	152230	5901922304.0	384.56000000000006	378.02	377.78	380.275252359054	376.913421818808	62.99509358193631	3.3618305402459896	1.9276662776118736	2.868328525268232	377.78	389.6933008374307	365.8666991625694	7.995606180801384
2024-09-24	393.0	402.2	389.4	402.2	429190	17036650496.0	389.44	381.12	379.11	383.648290457661	378.7865016840815	72.59004567607624	4.861788773579519	2.514490776805403	4.694595993548233	379.11	395.2041833232728	363.0158166767271	8.467348596458425
2024-09-25	418.0	418.0	401.4	405.4	401121	16419449856.0	394.52	384.8	380.28	386.9947073103285	380.75787192970506	74.17084075827313	6.236835380623461	3.258959697569015	5.955751366108892	380.28	400.205080730232	360.354919269768	9.048252268139969
2024-09-26	408.0	430.0	406.8	430.0	502549	21170862080.0	402.76	390.78	382.69	393.61090618566254	384.40543697194914	82.51786332586997	9.2054692137134	4.448261600797892	9.514415225831016	382.69	412.5648195326138	352.8151804673862	10.159091391844258
2024-09-27	443.2	444.8	432.6	437.8	571548	25050355712.0	412.6	397.30000000000007	385.87	400.40922831094525	388.3605897888418	84.25526722161607	12.048638522103431	5.9683369850590005	12.16060307408886	385.87	424.26457746802697	347.47542253197304	10.490584863855386
2024-09-30	449.6	457.4	434.2	444.6	754595	33640910848.0	424.0	404.2800000000001	389.22	407.2078085707998	392.5264720267054	85.59895758545245	14.681336544094393	7.710936896866079	13.940799294456626	389.22	435.46545952108943	342.9745404789106	11.398400230722858
2024-10-02	450.0	479.6	449.2	470.0	487669	22740695040.0	437.56	413.5	393.62	416.8681457137537	398.2652518765791	89.27935243894089	18.602893837174577	9.889328284927778	17.427131104493597	393.62	452.1001036790863	335.1398963209137	13.084228785671224
2024-10-03	471.0	476.6	453.2	466.2	316008	14666391552.0	449.72	422.12	398.04	424.4576617577916	403.29745544127695	85.74864045512776	21.160206316514632	12.14350389124515	18.033404850538965	398.04	464.3272346208912	331.7527653791089	13.821069586694712
2024-10-04	470.0	479.0	462.2	477.6	246637	11687744512.0	459.24	431.0	403.0100000000001	432.63340610274673	408.801347630812	87.36320080367855	23.832058471934715	14.481214807383065	18.7016873291033	403.0100000000001	477.4392500510298	328.58074994897026	14.033850330502236
2024-10-07	479.8	482.4	469.6	478.4	253344	12100494336.0	467.36000000000007	439.98	408.2900000000001	439.674420548478	413.95680336186297	87.47047674919396	25.71761718661503	16.728495283229456	17.978243806771147	408.2900000000001	488.4570335185149	328.12296648148526	13.945718164037787
2024-10-08	472.0	476.8	438.6	438.6	704680	31910930432.0	466.16	445.08	411.55000000000007	439.50912507948135	415.7822253350583	60.12445357597999	23.726899744423065	18.128176175468177	11.197447137909776	411.55000000000007	491.0430119404793	332.05698805952085	15.792452580892228
2024-10-09	449.0	453.0	424.0	434.2	463729	20395255808.0	459.0000000000001	448.28	414.7000000000001	438.692336605715	417.1465049398688	57.966873856527286	21.545831665846208	18.811707273543785	5.468248784604846	414.7000000000001	492.4341759155128	336.9658240844873	16.73584882511421
2024-10-10	438.0	448.6	436.4	438.8	331112	14647697408.0	453.52	451.62000000000006	418.21	438.7089002048358	418.7504675369156	59.59915872971518	19.95843266792025	19.04105235241908	1.8347606310023397	418.21	493.4801212825876	342.9398787174125	16.569002480463197
2024-10-14	440.8	440.8	424.0	436.0	303168	13164336128.0	445.2	452.2200000000001	421.50000000000006	438.2921463271688	420.0282106823293	58.11966791915	18.26393564483953	18.885629010903173	-1.2433867321272771	421.50000000000006	493.6206591323519	349.37934086764824	16.585502303287257
2024-10-15	433.8	433.8	412.6	417.0	334784	14096595968.0	432.92	450.14	423.7200000000001	435.0164315076044	419.80389877993446	49.19532535269207	15.212532727669895	18.15100975425652	-5.876954053173243	423.7200000000001	492.14140631488016	355.29859368512	17.072252138766736
2024-10-16	415.0	425.8	412.6	415.8	224903	9408092160.0	428.36000000000007	447.26	425.7700000000001	432.06005742951135	419.5073136851245	48.68684164843893	12.552743744386817	17.031356552282578	-8.957225615791522	425.7700000000001	490.3701173210652	361.16988267893504	16.795662700283398
